feature	importance
L_10_A19	16.766581
L_4_A7	13.175143
L_1_A6	11.150793
L_5_A5	8.913771
L_9_A8	8.015808
L_1_A12	6.318717
L_8_A3	5.60582
L_3_A3	4.171289
L_6_A5	4.064407
L_9_A9	3.305464
L_2_A7	2.483744
L_6_A4	1.960445
L_10_A16	1.447572
L_1_A4	1.336679
L_10_A17	1.333998
L_8_A2	1.253599
L_5_A18	1.162778
L_5_A17	1.110992
L_1_A7	0.704922
L_4_A5	0.673214
L_10_A13	0.657149
L_2_missing	0.562618
L_3_A16	0.488317
L_4_A4	0.429196
L_9_A7	0.386661
L_8_A6	0.383506
L_3_A6	0.326147
L_9_A3	0.321362
L_6_A9	0.303106
L_5_A8	0.208418
L_8_A8	0.202204
L_9_A12	0.200174
L_3_A14	0.171991
L_8_A7	0.093251
L_5_A11	0.066879
L_3_A9	0.047045
L_2_A5	0.045244
L_4_A17	0.044305
L_7_A5	0.029922
L_7_A6	0.027026
L_4_A15	0.022285
L_3_A15	0.015942
L_1_A3	0.004245
L_8_A13	0.00307
L_2_A13	0.002401
L_1_A8	0.000843
L_5_A16	0.000826
L_4_A16	0.00013
L_7_A10	0.0
L_10_A18	0.0
