feature	train_mean	train_std	test_mean	test_std
L_5_A5	0.381904	0.034596	-0.004548	0.047911
L_4_A7	0.26865	0.039962	0.373632	0.062147
L_9_A8	0.205276	0.036354	0.106179	0.031918
L_6_A5	0.10599	0.012813	0.186374	0.060398
L_10_A19	0.105567	0.011104	0.050037	0.014716
L_1_A6	0.044141	0.008706	-0.014802	0.030843
L_8_A3	0.043314	0.004017	0.045225	0.015909
L_3_A3	0.024079	0.003128	-0.016123	0.014584
L_1_A12	0.010465	0.003617	0.002362	0.016749
L_1_A4	0.00661	0.002765	0.000187	0.005661
L_5_A18	0.005664	0.002864	0.008896	0.000288
L_1_A7	0.003692	0.00116	0.006825	0.001326
L_2_A7	0.002981	0.001987	-0.016325	0.007423
L_8_A2	0.002096	0.001589	-0.002856	0.005572
L_8_A7	0.002031	0.001601	-0.00796	0.006868
L_9_A9	0.001743	0.001401	7.9e-05	0.001349
L_6_A4	0.001588	0.001383	-0.00146	0.006192
L_3_A6	0.001343	0.00193	0.002688	0.004708
L_10_A13	0.00122	0.001084	0.001446	0.001497
L_8_A6	0.001208	0.001385	-0.001773	0.007527
L_4_A4	0.000917	0.000121	-0.003661	0.002023
L_3_A14	0.000869	0.00089	-0.001588	0.00236
L_10_A16	0.000718	0.0004	-0.000346	0.002297
L_5_A17	0.000635	0.000922	0.000152	0.004725
L_7_A6	0.000461	0.000477	-0.00301	0.001991
L_6_A9	0.00046	0.000495	-0.000457	0.001228
L_8_A8	0.0004	0.000378	0.000724	0.000125
L_9_A7	0.000341	0.00027	2e-06	0.000662
L_2_missing	0.000338	8.7e-05	-0.000492	0.001145
L_5_A8	0.000334	0.000374	0.001214	0.000489
L_3_A16	0.000146	0.000856	-0.00116	0.001773
L_4_A15	7.9e-05	0.000139	0.000218	0.000302
L_2_A5	7.2e-05	0.000115	-0.000798	0.000221
L_3_A15	6.7e-05	0.000143	-0.000379	0.000391
L_5_A11	6.1e-05	2.3e-05	-9.4e-05	0.000274
L_8_A13	4.4e-05	2.7e-05	7.2e-05	3e-05
L_3_A9	3.5e-05	2.9e-05	-8.9e-05	0.000308
L_4_A17	2.3e-05	0.00014	-0.000408	0.000571
L_1_A3	1.7e-05	1e-05	8e-06	7e-06
L_7_A5	1.5e-05	0.000209	-0.000101	0.000837
L_5_A16	4e-06	6e-06	-3e-05	5.6e-05
L_2_A13	3e-06	9e-06	-1.9e-05	6.6e-05
L_1_A8	2e-06	3e-06	-0.000166	3e-06
L_4_A16	1e-06	5e-06	-4.8e-05	3e-05
L_10_A18	0.0	0.0	0.0	0.0
L_7_A10	0.0	0.0	0.0	0.0
L_9_A3	-6e-05	0.000327	-0.00156	0.002152
L_9_A12	-0.000101	0.000168	-6.2e-05	0.000702
L_10_A17	-0.000181	0.000863	-0.00168	0.002449
L_4_A5	-0.000294	0.001126	-0.00035	0.001135
