feature	train_mean	train_std	test_mean	test_std
L_2_A7	10.073724	0.994277	11.881274	1.050248
L_9_A9	4.077514	0.173516	0.861222	0.00985
L_10_A13	2.7406	0.299724	5.586766	1.651728
L_1_A1	2.251715	0.20263	1.261528	0.720873
L_1_A4	2.157855	0.233865	3.054752	1.345153
L_10_A8	0.744287	0.11009	-0.014695	0.0
L_6_A5	0.547081	0.249424	1.293331	0.887918
L_10_A19	0.0	0.0	0.0	0.0
L_10_A16	0.0	0.0	0.0	0.0
L_9_A7	0.0	0.0	0.0	0.0
L_7_A10	0.0	0.0	0.0	0.0
L_6_A9	0.0	0.0	0.0	0.0
L_6_A4	0.0	0.0	0.0	0.0
L_5_A8	0.0	0.0	0.0	0.0
L_3_A6	0.0	0.0	0.0	0.0
L_1_A7	0.0	0.0	0.0	0.0
L_10_A2	0.0	0.0	0.0	0.0
L_1_A6	0.0	0.0	0.0	0.0
L_1_A44	0.0	0.0	0.0	0.0
L_10_A17	0.0	0.0	0.0	0.0
L_1_A3	0.0	0.0	0.0	0.0
L_1_A12	0.0	0.0	0.0	0.0
L_10_A18	0.0	0.0	0.0	0.0
L_10_A44	0.0	0.0	0.0	0.0
L_10_A10	0.0	0.0	0.0	0.0
