feature	train_mean	train_std	test_mean	test_std
L_9_A8	0.042989	0.007999	0.050842	0.0129
L_1_A1	0.037023	0.005374	0.031479	0.03713
L_5_missing	0.037023	0.005374	0.031479	0.03713
L_9_A9	0.03453	0.005485	-0.032785	0.010204
L_10_A19	0.03453	0.005485	-0.025138	0.013372
L_4_A5	0.030194	0.007252	-0.010531	0.023977
L_6_A5	0.025572	0.004987	0.043851	0.016569
L_3_A16	0.024086	0.006643	0.001066	0.021647
L_4_A17	0.024086	0.006643	0.001066	0.021647
L_4_A7	0.022506	0.006211	0.019865	0.01617
L_6_A9	0.0211	0.004987	0.022926	0.015689
L_7_A10	0.0211	0.004987	0.029333	0.018008
L_9_A7	0.0211	0.004987	0.029333	0.018008
L_10_A13	0.0211	0.004987	0.029333	0.018008
L_2_A7	0.01679	0.004704	0.000909	0.01503
L_1_A6	0.01679	0.004704	0.000909	0.01503
L_5_A5	0.014785	0.003333	-0.024774	0.004223
L_10_A18	0.013479	0.003753	-0.000207	0.013536
L_8_A13	0.012938	0.003644	0.019603	0.010563
L_5_A17	0.011388	0.002974	0.013073	0.011082
L_10_A8	0.008267	0.001798	-0.006484	0.001232
L_1_A12	0.006581	0.003893	0.007605	0.011879
L_6_A4	0.006581	0.003893	0.007605	0.011879
L_10_A17	0.002693	0.000823	0.005084	0.006828
L_9_A12	0.002693	0.000823	0.005084	0.006828
