feature	importance
L_2_A7	0.080395
L_1_A6	0.071239
L_10_A19	0.057435
L_9_A8	0.054828
L_10_A18	0.053989
L_9_A9	0.046571
L_4_A7	0.033713
L_5_missing	0.03209
L_1_A4	0.031261
L_6_A5	0.027711
L_1_A1	0.026949
L_5_A5	0.026388
L_7_A10	0.026185
L_6_A9	0.024881
L_5_A17	0.024867
L_9_A7	0.024639
L_3_A16	0.023607
L_4_A5	0.023551
L_6_A14	0.023534
L_10_A13	0.023091
L_4_A17	0.022445
L_8_A13	0.019906
L_1_A12	0.017187
L_3_A6	0.016179
L_6_A4	0.016002
L_6_A6	0.015772
L_7_A7	0.013965
L_2_A13	0.010953
L_4_A4	0.010563
L_10_A8	0.009979
L_3_A3	0.009835
L_10_A10	0.009812
L_5_A16	0.008864
L_9_A4	0.008682
L_3_A8	0.007265
L_10_A16	0.006823
L_9_A12	0.006672
L_8_A3	0.006535
L_4_A10	0.005547
L_5_A15	0.00541
L_3_A9	0.004947
L_5_A3	0.004165
L_10_A17	0.004157
L_2_A5	0.004098
L_3_A44	0.003973
L_1_A8	0.003401
L_2_missing	0.003281
L_5_A11	0.002693
L_1_A3	0.002191
L_9_A10	0.001772
