feature	train_mean	train_std	test_mean	test_std
L_2_A7	0.093117	0.008264	-0.4089	0.420575
L_1_A6	0.079005	0.007447	-0.421475	0.419643
L_10_A19	0.073599	0.003093	0.013251	0.004507
L_9_A8	0.073567	0.010703	-0.438458	0.416973
L_9_A9	0.056914	0.002596	0.002043	0.00306
L_6_A5	0.041216	0.002188	-0.284135	0.401319
L_4_A7	0.03004	0.009283	0.039311	0.008364
L_4_A5	0.029293	0.008557	0.004352	0.007266
L_10_A18	0.028169	0.00408	-0.462093	0.41705
L_5_A5	0.027668	0.002862	-0.84874	0.002643
L_1_A12	0.027536	0.002005	0.034559	0.003428
L_7_A10	0.026655	0.001821	0.04634	0.010715
L_3_A16	0.026163	0.004096	0.010518	0.002497
L_9_A7	0.024239	0.001943	0.042321	0.009819
L_4_A17	0.024034	0.00391	0.009409	0.002148
L_7_A7	0.02326	0.003395	0.012844	0.004418
L_6_A9	0.022782	0.001742	0.034711	0.009716
L_10_A13	0.022164	0.001775	0.037771	0.008761
L_6_A4	0.020848	0.001543	0.025859	0.003278
L_1_A4	0.019808	0.003603	0.017838	0.007604
L_6_A6	0.018349	0.00258	-0.834982	0.001368
L_6_A14	0.018332	0.001985	-0.300803	0.417663
L_5_missing	0.017762	0.000909	-0.159381	0.348822
L_3_A8	0.016325	0.005038	0.035075	0.007765
L_3_A6	0.015095	0.002289	0.026981	0.007487
L_1_A1	0.014959	0.000783	-0.160473	0.34627
L_9_A4	0.013399	0.000816	-0.647811	0.326377
L_3_A3	0.012477	0.000623	-0.648007	0.325936
L_5_A17	0.011861	0.002044	-0.323646	0.413035
L_10_A10	0.01135	0.000606	-0.65653	0.329945
L_2_A13	0.010118	0.001508	0.005649	0.002536
L_4_A4	0.00977	0.00056	-0.624292	0.31391
L_8_A3	0.008832	0.000807	0.006241	0.002418
L_5_A16	0.007921	0.001934	0.0016	0.002782
L_10_A8	0.00739	0.002331	-0.007065	0.00054
L_8_A13	0.006669	0.001446	0.011864	0.002511
L_10_A16	0.005283	0.000649	0.002339	0.000868
L_4_A10	0.003808	0.000575	0.001553	0.000747
L_2_A5	0.003586	0.001287	-0.768105	0.001159
L_5_A15	0.003437	0.000436	0.001301	0.000525
L_3_A9	0.003012	0.000443	0.001353	0.000645
L_9_A12	0.002599	0.000378	0.002985	0.001225
L_3_A44	0.002324	0.000511	0.000362	0.000804
L_5_A3	0.002135	0.000265	-0.129262	0.312466
L_1_A8	0.001936	0.000308	-0.782875	0.000639
L_2_missing	0.00193	0.000366	0.000716	0.000558
L_5_A11	0.001839	0.000314	0.000878	0.000432
L_9_A10	0.001483	0.000311	0.000616	0.000168
L_1_A3	0.001131	0.000196	0.000633	0.000451
L_10_A17	0.001097	0.00043	0.001102	0.001154
