feature	importance
L_1_A6	0.145124
L_1_A4	0.126522
L_5_A5	0.123858
L_4_A7	0.081578
L_2_A7	0.08128
L_9_A9	0.066729
L_6_A4	0.0558
L_5_missing	0.053352
L_1_A12	0.048829
L_10_A16	0.038044
L_4_A10	0.027793
L_9_A8	0.027372
L_1_A1	0.025353
L_9_A7	0.019919
L_10_A19	0.016419
L_9_A10	0.016396
L_6_A5	0.007584
L_6_A14	0.006756
L_10_A13	0.006139
L_6_A9	0.005461
L_7_A10	0.003913
L_2_A8	0.002995
L_10_A17	0.002467
L_3_A16	0.002422
L_4_A17	0.002421
L_5_A18	0.002074
L_4_A5	0.001706
L_5_A17	0.000534
L_3_A14	0.000286
L_4_A15	0.000218
L_10_A10	0.00014
L_6_A6	8.9e-05
L_1_A7	8.3e-05
L_4_A4	7.8e-05
L_3_A6	7e-05
L_3_A3	3.6e-05
L_2_A2	3.3e-05
L_2_A5	2.2e-05
L_9_A4	2.1e-05
L_3_A15	1.8e-05
L_8_A7	1.6e-05
L_4_A16	1.2e-05
L_8_A8	1e-05
L_5_A16	1e-05
L_10_A18	8e-06
L_5_A8	5e-06
L_5_A15	2e-06
L_2_A13	1e-06
L_7_A6	0.0
L_8_A13	0.0
