feature	train_mean	train_std	test_mean	test_std
L_9_A8	0.122173	0.025482	0.037832	0.016547
L_4_A7	0.118318	0.024496	0.155842	0.036818
L_5_A5	0.034496	0.014986	-0.137156	0.0042
L_2_A7	0.026757	0.008059	-0.029981	0.025686
L_1_A6	0.02491	0.007363	-0.034721	0.023692
L_1_A4	0.024015	0.015088	-0.006308	0.026864
L_6_A5	0.023637	0.016552	0.129029	0.071328
L_1_A12	0.014406	0.007773	0.010314	0.014455
L_9_A9	0.013311	0.005409	-0.019655	0.018946
L_6_A4	0.011559	0.007043	0.004825	0.013817
L_7_A10	0.005917	0.005192	-0.002325	0.011881
L_9_A7	0.005873	0.003261	-0.004353	0.009588
L_5_missing	0.005727	0.002645	0.014509	0.079796
L_6_A9	0.004544	0.003529	-0.004383	0.009293
L_10_A13	0.003618	0.003051	-0.003043	0.008769
L_6_A14	0.003548	0.003602	0.093006	0.01293
L_1_A1	0.00225	0.002497	0.007553	0.060619
L_10_A19	0.002075	0.002545	-0.019236	0.016153
L_9_A10	0.00192	0.00207	-0.003853	0.007171
L_4_A10	0.001867	0.001689	-0.00396	0.008114
L_3_A14	0.001623	0.002096	-0.001697	0.012406
L_5_A17	0.001453	0.003187	0.007405	0.011801
L_4_A15	0.001359	0.001948	0.002087	0.010763
L_10_A16	0.001339	0.001163	-0.003658	0.008265
L_3_A16	0.001259	0.007462	-0.010503	0.014626
L_2_A8	0.001241	0.000951	-0.008747	0.0026
L_5_A18	0.000209	0.000869	-0.002434	0.000495
L_10_A18	0.000162	0.000658	-0.002952	0.001188
L_1_A7	0.000119	0.00033	-0.000941	0.000123
L_5_A15	9e-05	0.000105	2e-06	1e-06
L_8_A7	8.8e-05	0.000559	0.001551	0.001197
L_8_A8	4e-05	7e-06	3e-06	2e-06
L_7_A6	2.4e-05	0.000223	0.00079	0.000471
L_6_A6	1.6e-05	0.001033	0.002151	0.000831
L_8_A13	0.0	0.0	0.0	0.0
L_2_A5	-0.0	0.0	-0.0	0.0
L_2_A2	0.0	0.0	2e-06	0.0
L_3_A15	-2e-05	0.000538	0.000879	0.000799
L_4_A16	-0.000126	0.000466	-0.00555	0.001809
L_9_A4	-0.000213	0.000552	-0.002331	0.001327
L_2_A13	-0.000215	0.001116	0.003673	0.001836
L_5_A16	-0.000216	0.001058	0.002428	0.001541
L_3_A6	-0.000228	0.001072	0.000302	0.001141
L_5_A8	-0.000266	0.001978	0.008135	0.006639
L_4_A4	-0.000481	0.001768	-0.006833	0.003906
L_10_A10	-0.000568	0.001447	-0.006654	0.003742
L_4_A5	-0.000582	0.007284	0.001802	0.010983
L_4_A17	-0.000647	0.004214	-0.007467	0.010184
L_3_A3	-0.000689	0.000628	-0.005988	0.003215
L_10_A17	-0.000881	0.002039	-0.002974	0.005127
