feature	train_mean	train_std	test_mean	test_std
L_6_A4	0.680221	0.147555	-0.312453	1.515146
L_1_A12	0.680221	0.147555	-0.312453	1.515146
L_5_A16	0.663291	0.140371	-0.312485	1.515162
L_2_A13	0.617078	0.226992	-0.312517	1.515178
L_4_A15	0.574894	0.170332	0.114134	1.124758
L_3_A14	0.574894	0.170332	0.113999	1.12488
L_4_A5	0.572914	0.216879	-0.426792	0.833449
L_2_A5	0.486978	0.510357	-0.066333	1.094136
L_7_A5	0.459652	0.111241	-0.492902	1.289827
L_1_A4	0.361033	0.416157	0.113863	1.24748
L_8_A13	0.307585	0.394501	0.294081	0.818976
L_6_A9	0.307585	0.394501	0.113863	0.952173
L_7_A10	0.307585	0.394501	0.113863	0.952173
L_10_A13	0.307585	0.394501	0.113863	0.952173
L_9_A7	0.307585	0.394501	0.113863	0.952173
L_1_A8	0.268725	0.202783	2.3e-05	4.5e-05
L_10_A19	0.264522	0.043206	-0.167522	0.0
L_9_A9	0.264522	0.043206	-0.167522	0.0
L_3_A16	0.168739	0.534683	-0.180218	1.195433
L_4_A17	0.168739	0.534683	-0.180218	1.195433
L_9_A12	0.13232	0.113402	-0.066355	0.132711
L_10_A17	0.13232	0.113402	-0.066355	0.132711
L_5_A17	0.122905	0.07675	0.227726	0.278906
L_5_A5	0.058031	0.075602	0.022286	0.000245
L_8_A5	0.054082	0.047127	0.0	0.0
L_8_A3	0.049564	0.029197	-0.014709	0.018015
L_10_A10	0.048874	0.028889	-0.015813	0.019367
L_3_A3	0.048874	0.028889	-0.015813	0.019367
L_4_A4	0.048874	0.028889	-0.015813	0.019367
L_6_A6	0.045434	0.024811	0.24606	0.0
L_4_A2	0.045253	0.071397	0.227726	0.278906
L_8_A2	0.041969	0.026544	-0.001639	0.003278
L_10_A2	0.041969	0.026544	-0.066351	0.132713
L_5_A11	0.025193	0.02057	-0.066333	0.132722
L_4_A10	0.025193	0.02057	-0.066333	0.132722
L_9_A10	0.025193	0.02057	-0.066333	0.132722
L_9_A8	0.018937	0.02825	0.127686	0.063843
L_5_missing	0.008958	0.016645	0.22793	0.278948
L_10_A44	0.0	0.0	0.0	0.0
L_4_A44	-0.0	0.142475	0.0	0.0
L_7_A6	-0.008737	0.237267	1.00207	0.412855
L_8_A7	-0.008737	0.237267	1.00207	0.412855
L_5_A8	-0.012776	0.29337	0.295368	0.374143
L_3_A6	-0.050401	0.207149	0.523094	0.292514
L_10_A18	-0.098671	0.260254	1.008241	0.420417
L_2_A7	-0.14194	0.308098	1.009035	0.421406
L_1_A6	-0.14194	0.308098	1.009035	0.421406
L_4_A16	-0.151931	0.204971	0.596739	0.573697
L_3_A15	-0.151931	0.204971	0.596739	0.573697
L_6_A5	-0.342989	0.39069	0.588162	0.329392
