feature	train_mean	train_std	test_mean	test_std
L_10_A19	1.613511	0.062999	0.558051	0.131063
L_10_A13	0.808206	0.0665	1.17704	0.275343
L_4_A7	0.37631	0.07896	0.480741	0.140674
L_1_A6	0.337139	0.043639	0.311094	0.074028
L_7_A7	0.330302	0.041851	0.408944	0.129967
L_9_A8	0.300296	0.087378	0.437675	0.066006
L_2_A5	0.131247	0.052694	-0.18992	0.086516
L_3_A8	0.099259	0.030808	0.261008	0.055538
L_6_A5	0.072649	0.034646	0.144179	0.097057
L_1_A12	0.071563	0.037507	0.05683	0.07082
L_1_A4	0.050455	0.020577	0.003851	0.042323
L_5_A17	0.025015	0.028673	0.051573	0.06407
L_10_A10	0.020185	0.018307	-0.022396	0.013768
L_5_A8	0.010984	0.004405	0.009403	0.008412
L_4_A15	0.003562	0.002374	-0.006347	0.003509
L_5_A18	0.003285	0.002769	-0.006315	0.003286
L_7_A5	0.000648	0.000585	-0.003758	0.001955
L_7_A6	0.000518	0.001058	-0.005305	0.001841
L_5_A16	6.6e-05	8.7e-05	-0.000233	0.000116
L_2_A13	3.3e-05	0.000138	-0.000508	0.000607
L_1_A44	0.0	0.0	0.0	0.0
L_3_A44	0.0	0.0	0.0	0.0
L_10_A16	0.0	0.0	0.0	0.0
L_9_A7	0.0	0.0	0.0	0.0
L_9_A4	0.0	0.0	0.0	0.0
L_9_A10	0.0	0.0	0.0	0.0
L_8_A7	0.0	0.0	0.0	0.0
L_8_A6	0.0	0.0	0.0	0.0
L_8_A13	0.0	0.0	0.0	0.0
L_7_missing	0.0	0.0	0.0	0.0
L_10_A18	0.0	0.0	0.0	0.0
L_2_missing	0.0	0.0	0.0	0.0
L_3_A15	0.0	1e-06	9e-06	3e-06
L_7_A3	0.0	0.0	0.0	0.0
L_7_A10	0.0	0.0	0.0	0.0
L_6_A9	0.0	0.0	0.0	0.0
L_10_A2	0.0	0.0	0.0	0.0
L_6_A4	0.0	0.0	0.0	0.0
L_5_missing	0.0	0.0	0.0	0.0
L_2_A7	0.0	0.0	0.0	0.0
L_5_A5	0.0	0.0	0.0	0.0
L_3_A16	0.0	0.0	0.0	0.0
L_10_A8	0.0	0.0	0.0	0.0
L_3_A3	0.0	0.0	0.0	0.0
L_5_A15	0.0	0.0	0.0	0.0
L_1_A1	0.0	0.0	0.0	0.0
L_4_A4	0.0	0.0	0.0	0.0
L_4_A17	0.0	0.0	0.0	0.0
L_4_A16	0.0	0.0	0.0	0.0
L_9_A9	0.0	0.0	0.0	0.0
