feature	train_mean	train_std	test_mean	test_std
L_4_A7	1.289471	0.429395	1.592283	0.35756
L_3_A8	0.014066	0.004943	0.04609	0.00956
L_9_A8	0.011023	0.010485	0.011632	0.008872
L_5_A5	0.005244	0.003113	-0.001116	0.002231
L_1_A6	0.004804	0.004053	0.001415	0.00411
L_2_A7	0.004804	0.004053	0.001415	0.00411
L_8_A2	0.0042	0.009517	0.005289	0.011544
L_4_A16	0.003348	0.007232	-0.009633	0.003806
L_3_A15	0.003348	0.007232	-0.009633	0.003806
L_2_A8	0.002254	0.001844	-0.002231	0.002733
L_3_A16	0.002027	0.002591	0.010397	0.013863
L_3_A3	0.001941	0.00462	0.001501	0.004437
L_4_A4	0.001941	0.00462	0.001501	0.004437
L_9_A4	0.001941	0.00462	0.001501	0.004437
L_8_A3	0.001434	0.005211	0.001501	0.004437
L_7_A6	0.001191	0.006615	-0.002436	0.005021
L_8_A7	0.001191	0.006615	-0.002436	0.005021
L_10_A19	0.001014	0.002584	0.0	0.0
L_9_A9	0.001014	0.002584	0.0	0.0
L_5_A15	0.000963	0.001182	0.0	0.0
L_1_A3	0.000882	0.002791	0.0	0.0
L_6_A5	0.000866	0.001733	-0.004055	0.004966
L_6_A14	0.000866	0.001733	0.006671	0.012626
L_9_A10	0.000588	0.001949	0.000589	0.005527
L_5_A11	0.000588	0.001949	0.000589	0.005527
L_3_A9	0.000588	0.001949	0.000589	0.005527
L_2_missing	0.000588	0.001949	0.000589	0.005527
L_5_A17	0.00036	0.000719	0.0	0.0
L_5_A18	0.000147	0.004266	-0.003347	0.002733
L_2_A44	-0.000279	0.000558	0.0	0.0
L_5_missing	-0.000279	0.000558	0.004055	0.004966
L_10_A18	-0.000624	0.000969	-0.008982	0.009689
L_8_A44	-0.000786	0.001028	0.0	0.0
L_3_A14	-0.004382	0.001471	-0.014708	0.004055
L_4_A15	-0.004382	0.001471	-0.014708	0.004055
L_6_A4	-0.04131	0.086974	0.0	0.0
L_1_A12	-0.04131	0.086974	0.0	0.0
L_5_A16	-0.045413	0.087014	-0.01562	0.002231
L_2_A13	-0.045692	0.086171	-0.023729	0.00411
L_10_A17	-0.046707	0.086526	-0.007606	0.002504
L_2_A5	-0.079284	0.106195	0.002027	0.004055
L_9_A7	-0.084205	0.104914	0.002027	0.004055
L_7_A10	-0.084205	0.104914	0.002027	0.004055
L_6_A9	-0.084205	0.104914	0.002027	0.004055
L_10_A13	-0.084205	0.104914	0.002027	0.004055
L_5_A8	-0.084712	0.106575	0.0	0.006411
L_1_A4	-0.085681	0.107492	-0.002436	0.005417
L_3_A6	-0.086107	0.106134	0.000503	0.007728
L_8_A13	-0.086532	0.106198	0.00103	0.006569
L_8_A8	-0.115888	0.10511	0.045093	0.002166
