feature	importance
L_4_A17	3.46739
L_4_A5	2.064111
L_9_A12	1.987014
L_7_A10	1.880971
L_10_A10	1.325907
L_10_A13	1.074
L_6_A5	1.003279
L_10_A16	0.834608
L_5_A17	0.824748
L_10_A17	0.79709
L_9_A7	0.678909
L_6_A9	0.60722
L_3_A16	0.563324
L_10_A19	0.427798
L_10_A2	0.364066
L_9_A4	0.326934
L_3_A3	0.320662
L_9_A9	0.230437
L_2_A7	0.062099
L_3_A15	0.0
L_6_A6	0.0
L_9_A8	0.0
L_1_A12	0.0
L_1_A3	0.0
L_1_A4	0.0
L_8_A8	0.0
L_8_A7	0.0
L_8_A5	0.0
L_8_A13	0.0
L_7_missing	0.0
L_7_A6	0.0
L_7_A5	0.0
L_1_A6	0.0
L_1_A8	0.0
L_2_A13	0.0
L_3_A14	0.0
L_6_A4	0.0
L_5_A8	0.0
L_5_A5	0.0
L_5_A18	0.0
L_2_A5	0.0
L_5_A16	0.0
L_5_A11	0.0
L_2_A8	0.0
L_4_A4	0.0
L_10_A18	0.0
L_4_A16	0.0
L_4_A10	0.0
L_3_A6	0.0
L_5_A15	0.0
