feature	train_mean	train_std	test_mean	test_std
L_5_A5	0.206707	0.02695	-0.013593	0.02926
L_4_A17	0.104386	0.014954	0.024448	0.035736
L_6_A4	0.075672	0.014795	0.089035	0.033154
L_4_A5	0.042071	0.007316	-0.009841	0.022857
L_10_A10	0.031796	0.008399	0.043061	0.016946
L_9_A8	0.024688	0.004815	0.054272	0.020257
L_1_A12	0.024085	0.00525	0.036509	0.011241
L_6_A5	0.019937	0.006306	0.030454	0.010855
L_7_A10	0.016553	0.003201	0.026745	0.014262
L_9_A12	0.015814	0.004508	0.042701	0.03434
L_2_A7	0.014612	0.003691	-0.007213	0.016156
L_9_A7	0.014501	0.004842	0.020546	0.010876
L_5_A17	0.013686	0.003927	0.01003	0.011095
L_5_A11	0.012998	0.004072	0.003255	0.010112
L_4_A10	0.010937	0.002909	0.003932	0.008563
L_1_A6	0.010341	0.003177	-0.005209	0.013134
L_3_A6	0.00837	0.003543	0.022819	0.006009
L_10_A16	0.007867	0.003338	0.000274	0.005076
L_10_A13	0.007117	0.001834	0.010879	0.008922
L_2_A5	0.004747	0.003151	-0.019685	0.003641
L_3_A16	0.003487	0.002454	-0.002401	0.007182
L_10_A17	0.003226	0.001408	0.011828	0.012721
L_1_A4	0.003218	0.002134	0.004764	0.004298
L_6_A9	0.003084	0.000997	0.003711	0.005182
L_9_A4	0.002124	0.001521	0.00441	0.002105
L_10_A2	0.001736	0.000881	0.005429	0.003195
L_3_A3	0.001646	0.00135	0.002088	0.00131
L_4_A4	0.001392	0.000616	0.008285	0.003982
L_5_A8	0.000514	0.000395	0.001149	0.000902
L_10_A19	0.000336	0.001101	-0.008597	0.006515
L_8_A13	0.0	0.0	0.0	0.0
L_8_A5	0.0	0.0	0.0	0.0
L_7_missing	0.0	0.0	0.0	0.0
L_7_A6	0.0	0.0	0.0	0.0
L_8_A7	0.0	0.0	0.0	0.0
L_8_A8	0.0	0.0	0.0	0.0
L_7_A5	0.0	0.0	0.0	0.0
L_5_A15	0.0	0.0	0.0	0.0
L_6_A6	0.0	0.0	0.0	0.0
L_5_A18	0.0	0.0	0.0	0.0
L_5_A16	0.0	0.0	0.0	0.0
L_10_A18	0.0	0.0	0.0	0.0
L_4_A16	0.0	0.0	0.0	0.0
L_3_A15	0.0	0.0	0.0	0.0
L_3_A14	0.0	0.0	0.0	0.0
L_2_A8	0.0	0.0	0.0	0.0
L_2_A13	0.0	0.0	0.0	0.0
L_1_A8	0.0	0.0	0.0	0.0
L_1_A3	0.0	0.0	0.0	0.0
L_9_A9	-0.000143	0.000601	-0.004427	0.002813
