feature	importance
L_9_A8	7.859123
L_9_A9	6.988842
L_10_A19	6.988842
L_4_A5	6.248658
L_9_A7	5.750406
L_7_A10	5.750406
L_6_A9	5.750406
L_10_A13	5.750406
L_8_A8	4.97252
L_8_A13	4.814063
L_3_A3	4.588886
L_8_A3	4.374422
L_5_A3	3.695828
L_9_A10	3.662124
L_3_A9	3.662124
L_8_A2	3.654774
L_6_A6	3.601367
L_2_A8	3.430528
L_1_A4	3.243125
L_3_A14	3.067929
L_3_A16	3.031528
L_4_A17	3.031528
L_1_A1	2.927632
L_5_missing	2.927632
L_1_A8	2.707414
L_5_A15	2.501753
L_6_A5	2.44952
L_1_A12	2.303533
L_6_A4	2.303533
L_2_A5	2.142273
L_7_A5	1.962654
L_8_A6	1.962654
L_5_A16	1.83495
L_1_A6	1.72862
L_2_A7	1.72862
L_10_A18	1.715497
L_2_A13	1.657368
L_8_A7	1.654976
L_7_A6	1.654976
L_3_A8	1.236894
L_3_A15	0.971806
L_4_A16	0.971806
L_5_A5	0.800615
L_8_A5	0.790978
L_9_A3	0.393799
L_10_A2	0.393799
L_4_A2	0.217306
L_5_A17	0.211374
L_9_A12	0.114884
L_10_A17	0.114884
