feature	train_mean	train_std	test_mean	test_std
L_9_A8	0.203149	0.03752	0.127582	0.073493
L_3_A8	0.116861	0.010591	0.223974	0.092284
L_5_A3	0.077912	0.023059	0.334831	0.048207
L_4_A5	0.048702	0.022457	-0.073899	0.179823
L_6_A6	0.034877	0.033655	0.066726	0.0215
L_3_A14	0.008516	0.010916	-0.012658	0.043265
L_8_A2	0.00762	0.015504	0.002406	0.029353
L_4_A17	0.006348	0.017687	-0.045814	0.061597
L_3_A16	0.006348	0.017687	-0.045814	0.061597
L_2_A5	0.005484	0.008374	-0.039672	0.029173
L_3_A3	0.005006	0.01079	0.02656	0.013558
L_1_A4	0.004274	0.018164	-0.007648	0.042455
L_5_missing	0.004032	0.010671	0.001429	0.072836
L_1_A1	0.004032	0.010671	0.001429	0.072836
L_6_A5	0.002961	0.009963	0.025229	0.015522
L_8_A3	0.002674	0.009921	0.028823	0.014437
L_5_A15	0.002342	0.008505	-0.0313	0.038336
L_7_A10	0.001817	0.01158	-0.009065	0.050381
L_6_A9	0.001817	0.01158	-0.009267	0.05033
L_9_A7	0.001817	0.01158	-0.009065	0.050381
L_10_A13	0.001817	0.01158	-0.009065	0.050381
L_9_A10	0.001692	0.005897	-0.007947	0.015948
L_3_A9	0.001692	0.005897	-0.007947	0.015948
L_4_A2	0.001093	0.001871	2.6e-05	0.011764
L_5_A17	0.000722	0.006119	0.001692	0.025515
L_9_A3	0.000542	0.001101	0.002555	0.00431
L_10_A2	0.000542	0.001101	0.002555	0.00431
L_8_A13	0.000501	0.009098	0.001949	0.03536
L_1_A8	0.000397	0.001247	-0.035828	4.7e-05
L_8_A5	-0.000489	0.000959	0.0	0.0
L_10_A17	-0.002815	0.002342	0.006403	0.023697
L_9_A12	-0.002815	0.002342	0.006403	0.023697
L_8_A6	-0.006852	0.002973	-0.008608	0.010915
L_7_A5	-0.006852	0.002973	-0.008608	0.010915
L_5_A5	-0.00924	0.011536	-0.100071	0.000184
L_8_A7	-0.011648	0.002591	-0.04914	0.010132
L_7_A6	-0.011648	0.002591	-0.04914	0.010132
L_2_A8	-0.015438	0.003433	-0.029429	0.004444
L_2_A13	-0.024114	0.008029	-0.014278	0.026812
L_3_A15	-0.025603	0.009168	-0.091595	0.03391
L_4_A16	-0.025603	0.009168	-0.091595	0.03391
L_9_A9	-0.028439	0.024209	-0.146886	0.038668
L_10_A19	-0.028439	0.024209	-0.138705	0.047357
L_5_A16	-0.033196	0.009326	-0.010945	0.031823
L_6_A4	-0.041031	0.010597	-0.00704	0.036988
L_1_A12	-0.041031	0.010597	-0.00704	0.036988
L_8_A8	-0.041144	0.012689	-0.089024	0.012317
L_10_A18	-0.049083	0.015782	-0.195789	0.050259
L_2_A7	-0.060686	0.019746	-0.252059	0.066865
L_1_A6	-0.060686	0.019746	-0.252059	0.066865
