feature	importance
L_1_A12	177
L_10_A19	164
L_10_A10	122
L_6_A6	120
L_9_A8	119
L_4_A7	109
L_6_A5	98
L_1_A7	82
L_1_A6	51
L_10_A13	36
L_10_A18	28
L_5_A18	21
L_1_A4	18
L_2_A5	15
L_5_A17	13
L_7_A6	8
L_3_A6	6
L_8_A6	6
L_3_A15	4
L_3_A14	3
L_8_A8	1
L_8_A13	0
L_5_A5	0
L_7_A10	0
L_6_A9	0
L_8_A7	0
L_9_A12	0
L_6_A4	0
L_5_missing	0
L_9_A4	0
L_9_A7	0
L_5_A8	0
L_4_A5	0
L_5_A3	0
L_3_A16	0
L_10_A17	0
L_1_A1	0
L_2_A13	0
L_2_A44	0
L_2_A7	0
L_2_missing	0
L_3_A3	0
L_5_A16	0
L_3_A9	0
L_4_A10	0
L_4_A15	0
L_4_A16	0
L_4_A17	0
L_5_A15	0
L_9_A9	0
