feature	train_mean	train_std	test_mean	test_std
L_10_A19	0.83065	0.027772	0.1828	0.047713
L_6_A6	0.276815	0.029562	0.022628	0.027649
L_4_A7	0.126872	0.022708	0.133016	0.038587
L_10_A10	0.121043	0.021384	0.133506	0.043054
L_1_A6	0.112836	0.011184	0.059823	0.025182
L_9_A8	0.112398	0.026518	0.139855	0.015789
L_1_A12	0.097639	0.012637	0.153654	0.032601
L_6_A5	0.091768	0.012663	0.122052	0.02684
L_10_A13	0.077055	0.008726	0.123828	0.039326
L_1_A7	0.018588	0.002962	0.017734	0.003671
L_1_A4	0.010152	0.003962	0.000263	0.013485
L_5_A18	0.005006	0.002596	-0.012059	0.000418
L_10_A18	0.003328	0.002433	-0.02179	0.005374
L_2_A5	0.003084	0.003752	-0.016873	0.006335
L_5_A17	0.002937	0.001135	-0.00199	0.010154
L_3_A6	0.001	0.000658	0.001988	0.001398
L_8_A6	0.000985	0.000439	-0.002248	7.5e-05
L_7_A6	0.000612	0.000643	0.010666	0.001935
L_3_A14	0.000193	0.000221	-0.000137	0.000577
L_8_A8	0.000121	0.000188	9.9e-05	0.000168
L_8_A13	0.0	0.0	0.0	0.0
L_7_A10	0.0	0.0	0.0	0.0
L_9_A12	0.0	0.0	0.0	0.0
L_9_A4	0.0	0.0	0.0	0.0
L_6_A4	0.0	0.0	0.0	0.0
L_9_A7	0.0	0.0	0.0	0.0
L_5_A5	0.0	0.0	0.0	0.0
L_5_missing	0.0	0.0	0.0	0.0
L_5_A8	0.0	0.0	0.0	0.0
L_8_A7	0.0	0.0	0.0	0.0
L_6_A9	0.0	0.0	0.0	0.0
L_4_A5	0.0	0.0	0.0	0.0
L_5_A3	0.0	0.0	0.0	0.0
L_5_A16	0.0	0.0	0.0	0.0
L_10_A17	0.0	0.0	0.0	0.0
L_1_A1	0.0	0.0	0.0	0.0
L_2_A13	0.0	0.0	0.0	0.0
L_2_A44	0.0	0.0	0.0	0.0
L_2_A7	0.0	0.0	0.0	0.0
L_2_missing	0.0	0.0	0.0	0.0
L_3_A16	0.0	0.0	0.0	0.0
L_3_A3	0.0	0.0	0.0	0.0
L_3_A9	0.0	0.0	0.0	0.0
L_4_A10	0.0	0.0	0.0	0.0
L_4_A15	0.0	0.0	0.0	0.0
L_4_A16	0.0	0.0	0.0	0.0
L_4_A17	0.0	0.0	0.0	0.0
L_5_A15	0.0	0.0	0.0	0.0
L_9_A9	0.0	0.0	0.0	0.0
L_3_A15	-8.6e-05	0.0005	-0.004202	0.001202
