feature	train_mean	train_std	test_mean	test_std
L_9_A9	0.336565	0.024522	-0.011478	0.025699
L_5_missing	0.153525	0.014071	0.130035	0.087073
L_9_A8	0.084491	0.013779	0.090796	0.020317
L_9_A7	0.061899	0.010354	0.078893	0.037434
L_7_A10	0.061899	0.010354	0.078893	0.037434
L_4_A7	0.048785	0.010806	0.053093	0.029128
L_3_A16	0.034419	0.008235	0.022975	0.024156
L_6_A5	0.026355	0.005732	0.043357	0.014715
L_3_A6	0.018668	0.002325	0.026235	0.015606
L_1_A6	0.017968	0.005258	-0.006803	0.014959
L_2_A7	0.017968	0.005258	-0.006803	0.014959
L_8_A13	0.016656	0.004707	0.020731	0.014998
L_5_A17	0.012874	0.003087	0.013392	0.009692
L_10_A18	0.010205	0.003765	-0.008961	0.011509
L_1_A4	0.008618	0.003026	0.01118	0.011738
L_1_A12	0.005734	0.003035	0.007183	0.009032
L_5_A16	0.002144	0.00168	-0.001789	0.005709
L_9_A12	0.001621	0.000502	0.000655	0.002206
L_2_A13	0.001588	0.001379	-0.002303	0.004713
L_3_A15	0.000774	0.000481	0.001538	0.001643
L_4_A16	0.000774	0.000481	0.001538	0.001643
L_3_A14	0.00042	0.000307	-0.0	0.001479
L_2_A5	0.000244	0.000402	-0.002322	0.001084
L_8_A7	0.0	0.0	0.0	0.0
L_1_A8	0.0	0.0	0.0	0.0
