scores	parameters
0.9125	'feature_selection__k': 50, 'feature_selection__score_func': <function mutual_info_classif at 0x7f05e1c44860>, 'model__C': 1.0, 'model__l1_ratio': 0.7, 'model__max_iter': 5000, 'model__penalty': 'elasticnet', 'model__solver': 'saga'
0.9125	'feature_selection__k': 50, 'feature_selection__score_func': <function mutual_info_classif at 0x7f05e1c44860>, 'model__C': 1.0, 'model__l1_ratio': 0.5, 'model__max_iter': 5000, 'model__penalty': 'elasticnet', 'model__solver': 'saga'
0.9125	'feature_selection__k': 25, 'feature_selection__score_func': <function mutual_info_classif at 0x7f05e1c44860>, 'model__C': 1.0, 'model__l1_ratio': 0.7, 'model__max_iter': 5000, 'model__penalty': 'elasticnet', 'model__solver': 'saga'
0.9125	'feature_selection__k': 50, 'feature_selection__score_func': <function mutual_info_classif at 0x7f05e1c44860>, 'model__C': 1.0, 'model__l1_ratio': 0.3, 'model__max_iter': 5000, 'model__penalty': 'elasticnet', 'model__solver': 'saga'
0.89375	'feature_selection__k': 25, 'feature_selection__score_func': <function mutual_info_classif at 0x7f05e1c44860>, 'model__C': 1.0, 'model__l1_ratio': 0.3, 'model__max_iter': 5000, 'model__penalty': 'elasticnet', 'model__solver': 'saga'
0.89375	'feature_selection__k': 25, 'feature_selection__score_func': <function mutual_info_classif at 0x7f05e1c44860>, 'model__C': 1.0, 'model__l1_ratio': 0.5, 'model__max_iter': 5000, 'model__penalty': 'elasticnet', 'model__solver': 'saga'
0.86875	'feature_selection__k': 50, 'feature_selection__score_func': <function mutual_info_classif at 0x7f05e1c44860>, 'model__C': 0.1, 'model__l1_ratio': 0.3, 'model__max_iter': 5000, 'model__penalty': 'elasticnet', 'model__solver': 'saga'
0.86875	'feature_selection__k': 25, 'feature_selection__score_func': <function mutual_info_classif at 0x7f05e1c44860>, 'model__C': 0.1, 'model__l1_ratio': 0.3, 'model__max_iter': 5000, 'model__penalty': 'elasticnet', 'model__solver': 'saga'
0.86875	'feature_selection__k': 25, 'feature_selection__score_func': <function mutual_info_classif at 0x7f05e1c44860>, 'model__C': 0.1, 'model__l1_ratio': 0.7, 'model__max_iter': 5000, 'model__penalty': 'elasticnet', 'model__solver': 'saga'
0.86875	'feature_selection__k': 50, 'feature_selection__score_func': <function mutual_info_classif at 0x7f05e1c44860>, 'model__C': 0.1, 'model__l1_ratio': 0.7, 'model__max_iter': 5000, 'model__penalty': 'elasticnet', 'model__solver': 'saga'
0.86875	'feature_selection__k': 50, 'feature_selection__score_func': <function mutual_info_classif at 0x7f05e1c44860>, 'model__C': 0.1, 'model__l1_ratio': 0.5, 'model__max_iter': 5000, 'model__penalty': 'elasticnet', 'model__solver': 'saga'
0.85625	'feature_selection__k': 25, 'feature_selection__score_func': <function mutual_info_classif at 0x7f05e1c44860>, 'model__C': 0.1, 'model__l1_ratio': 0.5, 'model__max_iter': 5000, 'model__penalty': 'elasticnet', 'model__solver': 'saga'
0.35	'feature_selection__k': 25, 'feature_selection__score_func': <function mutual_info_classif at 0x7f05e1c44860>, 'model__C': 0.01, 'model__l1_ratio': 0.3, 'model__max_iter': 5000, 'model__penalty': 'elasticnet', 'model__solver': 'saga'
0.35	'feature_selection__k': 50, 'feature_selection__score_func': <function mutual_info_classif at 0x7f05e1c44860>, 'model__C': 0.01, 'model__l1_ratio': 0.7, 'model__max_iter': 5000, 'model__penalty': 'elasticnet', 'model__solver': 'saga'
0.35	'feature_selection__k': 50, 'feature_selection__score_func': <function mutual_info_classif at 0x7f05e1c44860>, 'model__C': 0.01, 'model__l1_ratio': 0.5, 'model__max_iter': 5000, 'model__penalty': 'elasticnet', 'model__solver': 'saga'
0.35	'feature_selection__k': 25, 'feature_selection__score_func': <function mutual_info_classif at 0x7f05e1c44860>, 'model__C': 0.01, 'model__l1_ratio': 0.5, 'model__max_iter': 5000, 'model__penalty': 'elasticnet', 'model__solver': 'saga'
0.35	'feature_selection__k': 25, 'feature_selection__score_func': <function mutual_info_classif at 0x7f05e1c44860>, 'model__C': 0.01, 'model__l1_ratio': 0.7, 'model__max_iter': 5000, 'model__penalty': 'elasticnet', 'model__solver': 'saga'
0.35	'feature_selection__k': 50, 'feature_selection__score_func': <function mutual_info_classif at 0x7f05e1c44860>, 'model__C': 0.01, 'model__l1_ratio': 0.3, 'model__max_iter': 5000, 'model__penalty': 'elasticnet', 'model__solver': 'saga'
