feature	train_mean	train_std	test_mean	test_std
L_9_A8	0.047589	0.015928	0.02295	0.017124
L_4_A5	0.038889	0.01146	0.000108	0.024235
L_4_A7	0.021507	0.006334	0.028082	0.010803
L_6_A5	0.010669	0.004879	0.035154	0.018047
L_1_A6	0.009695	0.005214	-0.028984	0.01077
L_6_A14	0.008058	0.00397	0.060874	0.009411
L_3_A16	0.007117	0.006873	-0.006211	0.013353
L_5_A5	0.006833	0.004002	-0.054717	0.005342
L_5_A17	0.006133	0.005593	0.008031	0.016588
L_1_A1	0.005947	0.001779	0.002453	0.022369
L_6_A4	0.005654	0.004238	0.010178	0.01038
L_7_A6	0.005451	0.001572	0.045509	0.015497
L_4_A17	0.005137	0.006443	-0.00407	0.009172
L_5_missing	0.005075	0.001967	0.003411	0.021766
L_2_A8	0.005007	0.001889	0.002929	0.009379
L_10_A10	0.005004	0.004918	0.002356	0.00502
L_4_A4	0.004848	0.003598	0.003941	0.004508
L_2_A2	0.004816	0.004201	0.003274	0.016764
L_1_A4	0.0046	0.007073	0.005085	0.007283
L_3_A3	0.004344	0.005414	-0.02748	0.014654
L_2_missing	0.004268	0.002622	-0.001684	0.005714
L_2_A7	0.004255	0.003216	0.008692	0.01294
L_9_A9	0.004072	0.002471	-0.01565	0.001486
L_6_A9	0.003994	0.003802	0.004223	0.006799
L_3_A15	0.003851	0.000709	0.014267	0.006968
L_10_A19	0.003797	0.002274	0.001155	0.004398
L_1_A3	0.003779	0.003863	0.00205	0.001157
L_9_A7	0.003733	0.004418	0.00282	0.008427
L_5_A8	0.003733	0.003655	0.017303	0.007851
L_5_A16	0.003687	0.004732	0.003502	0.010796
L_3_A9	0.002928	0.002378	-0.001595	0.003495
L_4_A16	0.002768	0.001403	-0.019118	0.021409
L_10_A16	0.00276	0.002049	-0.001156	0.005792
L_7_A5	0.002631	0.002359	0.000294	0.009112
L_4_A2	0.002622	0.002463	0.001765	0.012497
L_1_A12	0.002535	0.000819	0.021495	0.014274
L_2_A5	0.002443	0.003502	-0.030718	0.007695
L_10_A13	0.002232	0.00354	0.003334	0.007286
L_3_A14	0.002201	0.00183	0.001059	0.008921
L_3_A6	0.002077	0.003855	0.012988	0.0065
L_10_A18	0.00202	0.002567	-0.001524	0.005655
L_8_A8	0.002015	0.00084	0.002813	0.004479
L_8_A3	0.001966	0.004794	-0.002986	0.003501
L_9_A4	0.001805	0.004201	-0.009625	0.006004
L_9_A12	0.001725	0.002844	0.004818	0.014107
L_7_A10	0.001232	0.002103	0.000306	0.004675
L_2_A13	0.001168	0.000899	0.000694	0.002847
L_8_A13	0.001165	0.002472	0.003205	0.005646
L_8_A7	0.000916	0.001305	0.015939	0.00594
L_10_A17	0.000605	0.002214	0.002089	0.009448
