feature	train_mean	train_std	test_mean	test_std
L_5_A5	0.042383	0.004893	-0.026318	0.003418
L_4_A7	0.027861	0.005361	0.029536	0.006641
L_5_missing	0.023267	0.00166	0.01085	0.022081
L_9_A8	0.021228	0.004253	-0.011466	0.009613
L_1_A6	0.016294	0.005993	-0.010701	0.011152
L_2_A7	0.016294	0.005993	-0.010701	0.011152
L_6_A5	0.014147	0.002821	0.019865	0.00417
L_10_A10	0.014095	0.003318	0.001482	0.004256
L_4_A4	0.014095	0.003318	0.001482	0.004256
L_3_A3	0.014095	0.003318	0.001482	0.004256
L_4_A5	0.013828	0.002987	-0.003315	0.015632
L_9_A9	0.013618	0.003702	-0.02456	0.01185
L_10_A19	0.013618	0.003702	-0.023119	0.014621
L_10_A18	0.011995	0.004619	-0.010113	0.009607
L_8_A3	0.010713	0.003441	0.006047	0.0029
L_9_A7	0.010627	0.002046	0.017219	0.009112
L_7_A10	0.010627	0.002046	0.017219	0.009112
L_6_A9	0.010627	0.002046	0.013716	0.008563
L_10_A13	0.010627	0.002046	0.017219	0.009112
L_3_A6	0.009815	0.001129	0.015321	0.007207
L_3_A16	0.009808	0.003635	-0.002292	0.011538
L_4_A17	0.009808	0.003635	-0.002292	0.011538
L_5_A17	0.009656	0.004178	0.007455	0.006476
L_3_A15	0.008832	0.00402	-0.007717	0.010752
L_4_A16	0.008832	0.00402	-0.007717	0.010752
L_2_A5	0.008459	0.003252	-0.021388	0.010385
L_5_A18	0.008319	0.001508	-0.014571	0.006603
L_10_A16	0.007878	0.001316	0.002294	0.004827
L_3_A9	0.007878	0.001316	0.002294	0.004827
L_8_A2	0.007344	0.001175	-0.000335	0.003218
L_1_A3	0.007048	0.002298	0.00433	0.001013
L_5_A16	0.006669	0.001881	0.001741	0.015899
L_5_A8	0.006002	0.002407	0.009651	0.003717
L_1_A12	0.005841	0.0027	0.006739	0.016078
L_6_A4	0.005841	0.0027	0.006739	0.016078
L_10_A17	0.005652	0.000813	-0.000378	0.009364
L_9_A12	0.005652	0.000813	-0.000378	0.009364
L_8_A13	0.005384	0.002076	0.010442	0.004912
L_1_A4	0.005211	0.002152	-1.7e-05	0.010472
L_8_A7	0.004758	0.002392	-0.009145	0.007158
L_7_A6	0.004758	0.002392	-0.009145	0.007158
L_2_A13	0.00387	0.002317	-0.00173	0.015688
L_4_A15	0.002974	0.002088	0.00324	0.007624
L_3_A14	0.002974	0.002088	0.000803	0.007781
L_5_A15	0.001816	0.00282	-0.003167	0.006613
L_7_A5	0.001683	0.001797	-0.001079	0.016124
L_7_missing	0.001622	0.000359	0.001383	0.000198
L_8_A5	0.001594	0.000397	0.00076	0.000103
L_4_A2	0.001276	0.001427	-0.00161	0.00525
L_1_A44	-0.000288	0.001204	0.0	0.0
