feature	train_mean	train_std	test_mean	test_std
L_4_A5	0.282672	0.054118	-0.053965	0.126493
L_7_A5	0.151923	0.029005	-0.020727	0.054983
L_1_A1	0.130669	0.018637	0.133469	0.210532
L_9_A8	0.127835	0.035426	-0.068134	0.02815
L_5_A5	0.076334	0.063579	-0.301972	0.012369
L_5_A16	0.060918	0.004978	-0.032746	0.042476
L_2_A5	0.05023	0.040674	-0.302501	0.083757
L_3_A14	0.049827	0.015405	0.002952	0.06293
L_6_A5	0.048868	0.034303	0.198938	0.09461
L_5_A17	0.037222	0.027321	0.068107	0.099503
L_3_A15	0.020872	0.010931	0.056915	0.049303
L_4_A16	0.020872	0.010931	0.056915	0.049303
L_10_A18	0.0129	0.012071	0.023712	0.042536
L_4_A17	0.012062	0.025329	-0.056786	0.075736
L_3_A16	0.012062	0.025329	-0.056786	0.075736
L_7_A6	0.011076	0.01727	0.059121	0.049789
L_8_A7	0.011076	0.01727	0.059121	0.049789
L_6_A4	0.005751	0.010798	-0.039345	0.039759
L_1_A12	0.005751	0.010798	-0.039345	0.039759
L_7_A10	-0.010936	0.007955	-0.025518	0.049344
L_10_A13	-0.010936	0.007955	-0.025518	0.049344
L_1_A4	-0.011785	0.02542	-0.059039	0.087958
L_8_A13	-0.016526	0.006253	-0.01367	0.04494
L_2_A7	-0.024341	0.017372	-0.094083	0.035828
L_1_A6	-0.024341	0.017372	-0.094083	0.035828
