scores	parameters
0.90625	'feature_selection__k': 25, 'feature_selection__score_func': <function mutual_info_classif at 0x7f0738310860>, 'model__reg_param': 0.1, 'model__tol': 0.0001
0.90625	'feature_selection__k': 25, 'feature_selection__score_func': <function mutual_info_classif at 0x7f0738310860>, 'model__reg_param': 0.05, 'model__tol': 0.001
0.89375	'feature_selection__k': 25, 'feature_selection__score_func': <function mutual_info_classif at 0x7f0738310860>, 'model__reg_param': 0.1, 'model__tol': 0.001
0.8875	'feature_selection__k': 50, 'feature_selection__score_func': <function mutual_info_classif at 0x7f0738310860>, 'model__reg_param': 0.2, 'model__tol': 0.001
0.88125	'feature_selection__k': 25, 'feature_selection__score_func': <function mutual_info_classif at 0x7f0738310860>, 'model__reg_param': 0.05, 'model__tol': 0.0001
0.88125	'feature_selection__k': 50, 'feature_selection__score_func': <function mutual_info_classif at 0x7f0738310860>, 'model__reg_param': 0.1, 'model__tol': 0.0001
0.875	'feature_selection__k': 25, 'feature_selection__score_func': <function mutual_info_classif at 0x7f0738310860>, 'model__reg_param': 0.2, 'model__tol': 0.0001
0.875	'feature_selection__k': 25, 'feature_selection__score_func': <function mutual_info_classif at 0x7f0738310860>, 'model__reg_param': 0.2, 'model__tol': 0.001
0.875	'feature_selection__k': 50, 'feature_selection__score_func': <function mutual_info_classif at 0x7f0738310860>, 'model__reg_param': 0.1, 'model__tol': 0.001
0.86875	'feature_selection__k': 25, 'feature_selection__score_func': <function mutual_info_classif at 0x7f0738310860>, 'model__reg_param': 1.0, 'model__tol': 0.001
0.86875	'feature_selection__k': 50, 'feature_selection__score_func': <function mutual_info_classif at 0x7f0738310860>, 'model__reg_param': 0.2, 'model__tol': 0.0001
0.86875	'feature_selection__k': 50, 'feature_selection__score_func': <function mutual_info_classif at 0x7f0738310860>, 'model__reg_param': 0.8, 'model__tol': 0.001
0.86875	'feature_selection__k': 50, 'feature_selection__score_func': <function mutual_info_classif at 0x7f0738310860>, 'model__reg_param': 0.8, 'model__tol': 0.0001
0.86875	'feature_selection__k': 50, 'feature_selection__score_func': <function mutual_info_classif at 0x7f0738310860>, 'model__reg_param': 0.5, 'model__tol': 0.001
0.86875	'feature_selection__k': 25, 'feature_selection__score_func': <function mutual_info_classif at 0x7f0738310860>, 'model__reg_param': 0.8, 'model__tol': 0.0001
0.86875	'feature_selection__k': 25, 'feature_selection__score_func': <function mutual_info_classif at 0x7f0738310860>, 'model__reg_param': 0.5, 'model__tol': 0.001
0.86875	'feature_selection__k': 50, 'feature_selection__score_func': <function mutual_info_classif at 0x7f0738310860>, 'model__reg_param': 1.0, 'model__tol': 0.0001
0.86875	'feature_selection__k': 50, 'feature_selection__score_func': <function mutual_info_classif at 0x7f0738310860>, 'model__reg_param': 0.5, 'model__tol': 0.0001
0.8625	'feature_selection__k': 50, 'feature_selection__score_func': <function mutual_info_classif at 0x7f0738310860>, 'model__reg_param': 0.05, 'model__tol': 0.001
0.85625	'feature_selection__k': 50, 'feature_selection__score_func': <function mutual_info_classif at 0x7f0738310860>, 'model__reg_param': 0.05, 'model__tol': 0.0001
0.85625	'feature_selection__k': 50, 'feature_selection__score_func': <function mutual_info_classif at 0x7f0738310860>, 'model__reg_param': 1.0, 'model__tol': 0.001
0.84375	'feature_selection__k': 25, 'feature_selection__score_func': <function mutual_info_classif at 0x7f0738310860>, 'model__reg_param': 0.5, 'model__tol': 0.0001
0.8375	'feature_selection__k': 25, 'feature_selection__score_func': <function mutual_info_classif at 0x7f0738310860>, 'model__reg_param': 0.8, 'model__tol': 0.001
0.83125	'feature_selection__k': 25, 'feature_selection__score_func': <function mutual_info_classif at 0x7f0738310860>, 'model__reg_param': 1.0, 'model__tol': 0.0001
