feature	importance
L_1_A6	0.074467
L_4_A7	0.05979
L_5_missing	0.059731
L_2_A7	0.054738
L_10_A18	0.048017
L_5_A5	0.045601
L_9_A8	0.045173
L_9_A9	0.039278
L_10_A19	0.035998
L_1_A4	0.034851
L_6_A4	0.028056
L_4_A16	0.025018
L_5_A17	0.024701
L_6_A5	0.024525
L_7_A10	0.023653
L_6_A9	0.02245
L_10_A13	0.020982
L_9_A7	0.019252
L_3_A15	0.018759
L_3_A16	0.01848
L_4_A4	0.018394
L_3_A6	0.017522
L_4_A17	0.016817
L_8_A8	0.016406
L_2_A8	0.015785
L_1_A12	0.015113
L_5_A16	0.0141
L_7_A6	0.012235
L_7_A7	0.011992
L_5_A8	0.011827
L_9_A10	0.011733
L_3_A8	0.010458
L_8_A3	0.010306
L_5_A11	0.00982
L_10_A10	0.009693
L_9_A4	0.009346
L_8_A7	0.009111
L_8_A13	0.007619
L_2_A13	0.007369
L_2_A5	0.007053
L_2_missing	0.006997
L_10_A17	0.005465
L_5_A3	0.003868
L_7_A5	0.003768
L_3_A14	0.003331
L_8_A6	0.002904
L_4_A15	0.002408
L_9_A12	0.002166
L_8_A5	0.001708
L_7_missing	0.001168
