feature	train_mean	train_std	test_mean	test_std
L_4_A7	1.081374	0.261952	1.595581	0.354476
L_9_A8	0.600721	0.228602	-0.456325	0.414213
L_1_A6	0.083097	0.007437	-0.419304	0.420703
L_9_A9	0.05909	0.00323	-0.001949	0.003909
L_10_A19	0.055555	0.002227	0.011504	0.004264
L_2_A7	0.055459	0.005052	-0.45035	0.418578
L_5_A5	0.054716	0.005251	-0.855019	0.006056
L_5_missing	0.043986	0.001988	-0.141358	0.358579
L_10_A18	0.043203	0.004324	-0.451921	0.416314
L_6_A5	0.02945	0.00153	-0.284801	0.393252
L_7_A10	0.028237	0.002326	0.048037	0.010865
L_6_A4	0.027885	0.002156	0.030167	0.004662
L_4_A4	0.022648	0.000923	0.010212	0.003191
L_7_A7	0.021997	0.002878	0.015127	0.003497
L_6_A9	0.021269	0.001981	0.033013	0.009479
L_4_A16	0.020604	0.002187	-0.304802	0.41355
L_5_A16	0.019445	0.002774	0.018018	0.002995
L_1_A12	0.018528	0.001297	0.022303	0.002946
L_10_A13	0.018451	0.001548	0.03132	0.007033
L_9_A7	0.018012	0.00151	0.0346	0.008569
L_8_A8	0.01779	0.002932	0.00273	0.001068
L_8_A3	0.017671	0.001241	0.011342	0.004469
L_5_A17	0.01757	0.002345	-0.316991	0.413572
L_3_A15	0.017546	0.001623	-0.30546	0.410706
L_3_A8	0.016913	0.005202	0.043581	0.009518
L_3_A6	0.016821	0.002164	0.030248	0.008143
L_1_A4	0.016188	0.0026	0.01649	0.008533
L_2_A8	0.016144	0.000245	0.013533	0.001655
L_10_A10	0.015014	0.000945	-0.622522	0.313729
L_3_A16	0.01359	0.003837	0.003967	0.001843
L_9_A4	0.011833	0.00096	-0.622376	0.313823
L_4_A17	0.01168	0.003981	0.003483	0.000726
L_7_A6	0.009291	0.001365	-0.31116	0.411343
L_5_A8	0.009254	0.001862	0.01937	0.005258
L_2_A13	0.008672	0.00222	0.001873	0.001946
L_5_A11	0.007499	0.001338	0.003067	0.001572
L_9_A10	0.006398	0.001292	0.00237	0.001824
L_8_A7	0.006332	0.001225	-0.313561	0.406989
L_8_A13	0.004758	0.000717	0.008868	0.002059
L_2_missing	0.004229	0.000952	0.001778	0.000895
L_7_A5	0.003458	0.000682	0.001927	0.000528
L_4_A15	0.002272	0.000784	0.000693	0.000521
L_3_A14	0.002096	0.000872	0.001662	0.000812
L_8_A6	0.002012	0.000606	0.000144	0.000597
L_10_A17	0.001503	0.000506	0.001569	0.00131
L_5_A3	0.001407	9.9e-05	0.027045	0.003889
L_2_A5	0.001205	0.001404	0.001772	0.00266
L_7_missing	0.000377	0.000221	0.000184	0.000637
L_8_A5	0.000198	0.000308	0.0	0.0
L_9_A12	-0.000338	0.000522	-0.000655	0.001106
