feature	importance
L_4_A17	0.752779
L_3_A16	0.752779
L_5_A15	0.531847
L_5_A17	0.510201
L_9_A8	0.500357
L_7_A10	0.492548
L_10_A13	0.492548
L_9_A7	0.492548
L_6_A9	0.492548
L_6_A5	0.476829
L_10_A10	0.460892
L_3_A3	0.460892
L_1_A4	0.449766
L_8_A3	0.425363
L_8_A13	0.421158
L_9_A12	0.412072
L_10_A17	0.412072
L_9_A9	0.379284
L_10_A19	0.379284
L_8_A2	0.311526
L_5_A5	0.301637
L_10_A2	0.295958
L_9_A3	0.295958
L_2_A5	0.257296
L_3_A6	0.256705
L_4_A10	0.203903
L_5_A11	0.203903
L_9_A10	0.203903
L_10_A16	0.203903
L_8_A6	0.180599
L_2_A7	0.159821
L_1_A6	0.159821
L_1_A1	0.159255
L_5_missing	0.159255
L_10_A18	0.135905
L_3_A14	0.13577
L_4_A15	0.13577
L_7_A6	0.114537
L_8_A7	0.114537
L_1_A3	0.109167
L_2_A8	0.095369
L_8_A8	0.087265
L_3_A15	0.076021
L_4_A16	0.076021
L_1_A8	0.071244
L_1_A12	0.047851
L_6_A4	0.047851
L_2_A13	0.038836
L_1_A7	0.020108
L_5_A16	0.011351
