feature	train_mean	train_std	test_mean	test_std
L_6_A5	0.021572	0.006905	0.036883	0.015451
L_9_A8	0.020933	0.005115	0.022052	0.011275
L_1_A1	0.016066	0.003287	0.011765	0.022406
L_5_missing	0.016066	0.003287	0.011765	0.022406
L_5_A5	0.015597	0.003755	-0.030982	0.004723
L_3_A16	0.014631	0.007982	-0.005501	0.017986
L_4_A17	0.014631	0.007982	-0.005501	0.017986
L_5_A17	0.012376	0.00518	0.009921	0.013697
L_1_A4	0.006891	0.003785	0.000866	0.012657
L_9_A7	0.006648	0.003902	0.007334	0.011586
L_7_A10	0.006648	0.003902	0.007334	0.011586
L_6_A9	0.006648	0.003902	0.005233	0.011012
L_10_A13	0.006648	0.003902	0.007334	0.011586
L_9_A9	0.006444	0.003799	-0.028253	0.005678
L_10_A19	0.006444	0.003799	-0.028315	0.007319
L_3_A3	0.004899	0.003803	-0.004192	0.004775
L_10_A10	0.004899	0.003803	-0.004192	0.004775
L_10_A17	0.004756	0.000857	0.004271	0.010012
L_9_A12	0.004756	0.000857	0.004271	0.010012
L_8_A13	0.004709	0.003314	0.007411	0.008034
L_8_A2	0.00448	0.00402	0.001587	0.006862
L_2_A5	0.004414	0.004085	-0.018649	0.010617
L_1_A6	0.004322	0.004471	-0.019503	0.010507
L_2_A7	0.004322	0.004471	-0.019503	0.010507
L_3_A6	0.003945	0.001955	0.009303	0.006219
L_6_A4	0.003926	0.00285	0.004729	0.0097
L_1_A12	0.003926	0.00285	0.004729	0.0097
L_8_A3	0.003923	0.003704	-0.001619	0.003686
L_5_A15	0.003588	0.003268	-0.004179	0.008382
L_10_A18	0.003485	0.003935	-0.017735	0.009708
L_1_A3	0.003477	0.002861	0.001952	0.001254
L_9_A10	0.002868	0.001814	-0.001015	0.004957
L_5_A11	0.002868	0.001814	-0.001015	0.004957
L_4_A10	0.002868	0.001814	-0.001015	0.004957
L_10_A16	0.002868	0.001814	-0.001015	0.004957
L_9_A3	0.002713	0.001209	0.00603	0.005285
L_10_A2	0.002713	0.001209	0.00603	0.005285
L_5_A16	0.002589	0.002632	0.00158	0.008641
L_2_A13	0.002008	0.002615	0.000134	0.008034
L_1_A8	0.001315	0.001192	-0.014422	0.000293
L_8_A7	0.001129	0.001063	0.007093	0.004074
L_7_A6	0.001129	0.001063	0.007093	0.004074
L_4_A16	0.001051	0.001476	-0.002172	0.006686
L_3_A15	0.001051	0.001476	-0.002172	0.006686
L_3_A14	0.000967	0.001677	4.4e-05	0.007165
L_4_A15	0.000967	0.001677	0.000291	0.006896
L_1_A7	0.000777	0.00045	0.005264	0.002413
L_8_A6	0.000672	0.001836	-0.006549	0.006809
L_2_A8	0.000649	0.001355	-0.012075	0.000426
L_8_A8	-0.000124	0.001003	-0.007064	0.001164
