feature	train_mean	train_std	test_mean	test_std
L_5_A5	0.03198	0.003745	-0.026409	0.004581
L_1_A1	0.016039	0.003006	0.008311	0.021387
L_5_missing	0.016039	0.003006	0.008311	0.021387
L_1_A6	0.011643	0.006319	-0.009686	0.011555
L_2_A7	0.011643	0.006319	-0.009686	0.011555
L_8_A2	0.011278	0.007896	0.003812	0.010647
L_9_A8	0.011251	0.003868	-0.005583	0.006734
L_9_A10	0.010503	0.004048	0.00157	0.008107
L_5_A17	0.010322	0.002666	0.011458	0.006858
L_9_A7	0.00928	0.001608	0.014128	0.008358
L_7_A10	0.00928	0.001608	0.014128	0.008358
L_6_A9	0.00928	0.001608	0.011946	0.007891
L_10_A13	0.00928	0.001608	0.014128	0.008358
L_4_A4	0.008451	0.002556	-0.002058	0.004559
L_9_A4	0.008451	0.002556	-0.002058	0.004559
L_10_A10	0.008451	0.002556	-0.002058	0.004559
L_4_A17	0.008324	0.002832	-0.000804	0.007265
L_4_A7	0.006849	0.002247	0.003027	0.004316
L_6_A5	0.006841	0.002019	0.011071	0.006088
L_3_A6	0.006438	0.000916	0.014849	0.003794
L_10_A18	0.005794	0.003655	-0.004953	0.007028
L_8_A13	0.00535	0.001251	0.008288	0.004589
L_3_A15	0.004982	0.003468	-0.010031	0.011665
L_4_A16	0.004982	0.003468	-0.010031	0.011665
L_8_A3	0.004895	0.002946	0.0	0.002793
L_5_A8	0.003548	0.001112	0.005402	0.003351
L_1_A4	0.002731	0.000771	0.002175	0.002318
L_10_A17	0.00192	0.000282	0.001489	0.001469
L_9_A12	0.00192	0.000282	0.001489	0.001469
L_10_A19	0.001689	0.004526	-0.032465	0.009355
L_9_A9	0.001689	0.004526	-0.035354	0.007202
L_4_A2	0.00127	0.000516	0.001544	0.002661
L_1_A8	0.001043	0.001049	0.004	0.001029
L_7_missing	0.000439	5.3e-05	0.000345	0.000107
L_7_A6	0.000405	0.002452	-0.00959	0.007289
L_8_A7	0.000405	0.002452	-0.00959	0.007289
L_8_A44	8.9e-05	0.000392	-0.000304	0.001572
L_2_A5	8.7e-05	0.001039	-0.003416	0.001796
L_8_A5	5.6e-05	1.3e-05	2.8e-05	2e-05
L_1_A12	-0.000254	0.002689	0.003321	0.00872
L_6_A4	-0.000254	0.002689	0.003321	0.00872
L_5_A16	-0.00028	0.002421	0.001709	0.008165
L_2_A13	-0.000689	0.002382	-0.000203	0.007579
L_3_A14	-0.001329	0.001992	0.001899	0.006117
L_4_A15	-0.001329	0.001992	0.003062	0.006007
L_5_A18	-0.001523	0.001526	-0.015939	0.000922
L_8_A6	-0.002349	0.002099	-0.000416	0.008134
L_8_A8	-0.003434	0.003177	-0.026095	0.006265
L_1_A7	-0.003883	0.001176	-0.005724	0.007146
L_2_A8	-0.004258	0.002605	-0.020378	0.002381
