scores	parameters
0.90625	'C': 0.1, 'gamma': 'scale', 'kernel': 'linear', 'max_iter': 1000, 'tol': 0.0001
0.90625	'C': 0.1, 'gamma': 'scale', 'kernel': 'linear', 'max_iter': 1000, 'tol': 1e-05
0.90625	'C': 0.1, 'gamma': 'scale', 'kernel': 'linear', 'max_iter': -1, 'tol': 0.0001
0.90625	'C': 0.1, 'gamma': 'scale', 'kernel': 'linear', 'max_iter': -1, 'tol': 1e-05
0.86875	'C': 0.1, 'gamma': 'scale', 'kernel': 'rbf', 'max_iter': 1000, 'tol': 0.0001
0.86875	'C': 0.1, 'gamma': 'scale', 'kernel': 'rbf', 'max_iter': 1000, 'tol': 1e-05
0.86875	'C': 0.1, 'gamma': 'scale', 'kernel': 'rbf', 'max_iter': -1, 'tol': 0.0001
0.86875	'C': 0.1, 'gamma': 'scale', 'kernel': 'rbf', 'max_iter': -1, 'tol': 1e-05
0.90625	'C': 0.1, 'gamma': 0.001, 'kernel': 'linear', 'max_iter': 1000, 'tol': 0.0001
0.90625	'C': 0.1, 'gamma': 0.001, 'kernel': 'linear', 'max_iter': 1000, 'tol': 1e-05
0.90625	'C': 0.1, 'gamma': 0.001, 'kernel': 'linear', 'max_iter': -1, 'tol': 0.0001
0.90625	'C': 0.1, 'gamma': 0.001, 'kernel': 'linear', 'max_iter': -1, 'tol': 1e-05
0.5	'C': 0.1, 'gamma': 0.001, 'kernel': 'rbf', 'max_iter': 1000, 'tol': 0.0001
0.5	'C': 0.1, 'gamma': 0.001, 'kernel': 'rbf', 'max_iter': 1000, 'tol': 1e-05
0.5	'C': 0.1, 'gamma': 0.001, 'kernel': 'rbf', 'max_iter': -1, 'tol': 0.0001
0.5	'C': 0.1, 'gamma': 0.001, 'kernel': 'rbf', 'max_iter': -1, 'tol': 1e-05
0.9	'C': 1.0, 'gamma': 'scale', 'kernel': 'linear', 'max_iter': 1000, 'tol': 0.0001
0.9	'C': 1.0, 'gamma': 'scale', 'kernel': 'linear', 'max_iter': 1000, 'tol': 1e-05
0.9	'C': 1.0, 'gamma': 'scale', 'kernel': 'linear', 'max_iter': -1, 'tol': 0.0001
0.9	'C': 1.0, 'gamma': 'scale', 'kernel': 'linear', 'max_iter': -1, 'tol': 1e-05
0.9	'C': 1.0, 'gamma': 'scale', 'kernel': 'rbf', 'max_iter': 1000, 'tol': 0.0001
0.9	'C': 1.0, 'gamma': 'scale', 'kernel': 'rbf', 'max_iter': 1000, 'tol': 1e-05
0.9	'C': 1.0, 'gamma': 'scale', 'kernel': 'rbf', 'max_iter': -1, 'tol': 0.0001
0.9	'C': 1.0, 'gamma': 'scale', 'kernel': 'rbf', 'max_iter': -1, 'tol': 1e-05
0.9	'C': 1.0, 'gamma': 0.001, 'kernel': 'linear', 'max_iter': 1000, 'tol': 0.0001
0.9	'C': 1.0, 'gamma': 0.001, 'kernel': 'linear', 'max_iter': 1000, 'tol': 1e-05
0.9	'C': 1.0, 'gamma': 0.001, 'kernel': 'linear', 'max_iter': -1, 'tol': 0.0001
0.9	'C': 1.0, 'gamma': 0.001, 'kernel': 'linear', 'max_iter': -1, 'tol': 1e-05
0.5	'C': 1.0, 'gamma': 0.001, 'kernel': 'rbf', 'max_iter': 1000, 'tol': 0.0001
0.5	'C': 1.0, 'gamma': 0.001, 'kernel': 'rbf', 'max_iter': 1000, 'tol': 1e-05
0.5	'C': 1.0, 'gamma': 0.001, 'kernel': 'rbf', 'max_iter': -1, 'tol': 0.0001
0.5	'C': 1.0, 'gamma': 0.001, 'kernel': 'rbf', 'max_iter': -1, 'tol': 1e-05
0.9	'C': 10, 'gamma': 'scale', 'kernel': 'linear', 'max_iter': 1000, 'tol': 0.0001
0.9	'C': 10, 'gamma': 'scale', 'kernel': 'linear', 'max_iter': 1000, 'tol': 1e-05
0.9	'C': 10, 'gamma': 'scale', 'kernel': 'linear', 'max_iter': -1, 'tol': 0.0001
0.9	'C': 10, 'gamma': 'scale', 'kernel': 'linear', 'max_iter': -1, 'tol': 1e-05
0.9	'C': 10, 'gamma': 'scale', 'kernel': 'rbf', 'max_iter': 1000, 'tol': 0.0001
0.9	'C': 10, 'gamma': 'scale', 'kernel': 'rbf', 'max_iter': 1000, 'tol': 1e-05
0.9	'C': 10, 'gamma': 'scale', 'kernel': 'rbf', 'max_iter': -1, 'tol': 0.0001
0.9	'C': 10, 'gamma': 'scale', 'kernel': 'rbf', 'max_iter': -1, 'tol': 1e-05
0.9	'C': 10, 'gamma': 0.001, 'kernel': 'linear', 'max_iter': 1000, 'tol': 0.0001
0.9	'C': 10, 'gamma': 0.001, 'kernel': 'linear', 'max_iter': 1000, 'tol': 1e-05
0.9	'C': 10, 'gamma': 0.001, 'kernel': 'linear', 'max_iter': -1, 'tol': 0.0001
0.9	'C': 10, 'gamma': 0.001, 'kernel': 'linear', 'max_iter': -1, 'tol': 1e-05
0.8625	'C': 10, 'gamma': 0.001, 'kernel': 'rbf', 'max_iter': 1000, 'tol': 0.0001
0.8625	'C': 10, 'gamma': 0.001, 'kernel': 'rbf', 'max_iter': 1000, 'tol': 1e-05
0.8625	'C': 10, 'gamma': 0.001, 'kernel': 'rbf', 'max_iter': -1, 'tol': 0.0001
0.8625	'C': 10, 'gamma': 0.001, 'kernel': 'rbf', 'max_iter': -1, 'tol': 1e-05
