feature	importance
L_1_A6	0.194013
L_2_missing	0.167243
L_1_A4	0.157528
L_10_A19	0.082336
L_5_A5	0.081386
L_1_A12	0.045519
L_10_A18	0.045269
L_10_A13	0.043963
L_4_A7	0.038373
L_3_A16	0.022705
L_9_A8	0.021861
L_10_A10	0.019075
L_4_A5	0.015784
L_6_A5	0.014913
L_6_A6	0.014438
L_5_A17	0.010681
L_2_A8	0.009427
L_10_A17	0.008118
L_7_A3	0.006766
L_3_A15	0.000603
L_9_A3	0.0
L_9_A12	0.0
L_8_A7	0.0
L_8_A6	0.0
L_8_A5	0.0
L_9_A7	0.0
L_7_missing	0.0
L_7_A6	0.0
L_7_A5	0.0
L_7_A10	0.0
L_6_A9	0.0
L_8_A13	0.0
L_5_A8	0.0
L_6_A4	0.0
L_4_A16	0.0
L_3_A14	0.0
L_2_A5	0.0
L_3_A3	0.0
L_3_A6	0.0
L_4_A10	0.0
L_4_A15	0.0
L_4_A17	0.0
L_2_A7	0.0
L_4_A4	0.0
L_2_A13	0.0
L_5_A11	0.0
L_5_A15	0.0
L_5_A16	0.0
L_1_A3	0.0
L_9_A9	0.0
