feature	train_mean	train_std	test_mean	test_std
L_5_A5	0.289721	0.027238	-0.00888	0.036898
L_1_A6	0.256671	0.019404	0.191399	0.037437
L_10_A10	0.17639	0.018318	0.145338	0.045341
L_10_A19	0.141104	0.008891	-0.00754	0.035216
L_10_A13	0.133378	0.010246	0.229693	0.072298
L_1_A12	0.091074	0.007639	0.120325	0.016705
L_4_A7	0.082811	0.017225	0.073033	0.020308
L_9_A8	0.080048	0.018659	0.045629	0.017968
L_6_A5	0.058849	0.005603	0.110704	0.038236
L_1_A4	0.042895	0.012504	0.017172	0.029755
L_2_missing	0.019962	0.003272	0.007065	0.011337
L_3_A16	0.008971	0.00425	-0.003786	0.01059
L_4_A5	0.002604	0.001271	-0.003489	0.005344
L_2_A8	0.002388	0.001087	-0.008073	0.003493
L_7_A3	0.001334	0.001025	0.000811	0.001009
L_6_A6	0.001218	0.001075	-0.005469	0.000254
L_5_A17	0.001013	0.000676	0.001464	0.002069
L_3_A15	0.000682	8.4e-05	0.000622	0.000112
L_10_A18	0.000441	0.000358	0.001102	0.000907
L_10_A17	7.9e-05	0.000113	0.000481	0.000789
L_8_A7	0.0	0.0	0.0	0.0
L_8_A6	0.0	0.0	0.0	0.0
L_9_A12	0.0	0.0	0.0	0.0
L_8_A13	0.0	0.0	0.0	0.0
L_7_missing	0.0	0.0	0.0	0.0
L_7_A6	0.0	0.0	0.0	0.0
L_7_A5	0.0	0.0	0.0	0.0
L_9_A3	0.0	0.0	0.0	0.0
L_9_A7	0.0	0.0	0.0	0.0
L_7_A10	0.0	0.0	0.0	0.0
L_6_A9	0.0	0.0	0.0	0.0
L_8_A5	0.0	0.0	0.0	0.0
L_5_A16	0.0	0.0	0.0	0.0
L_6_A4	0.0	0.0	0.0	0.0
L_4_A10	0.0	0.0	0.0	0.0
L_2_A13	0.0	0.0	0.0	0.0
L_2_A5	0.0	0.0	0.0	0.0
L_2_A7	0.0	0.0	0.0	0.0
L_3_A14	0.0	0.0	0.0	0.0
L_3_A3	0.0	0.0	0.0	0.0
L_3_A6	0.0	0.0	0.0	0.0
L_4_A15	0.0	0.0	0.0	0.0
L_5_A8	0.0	0.0	0.0	0.0
L_4_A16	0.0	0.0	0.0	0.0
L_4_A17	0.0	0.0	0.0	0.0
L_4_A4	0.0	0.0	0.0	0.0
L_5_A11	0.0	0.0	0.0	0.0
L_5_A15	0.0	0.0	0.0	0.0
L_1_A3	0.0	0.0	0.0	0.0
L_9_A9	0.0	0.0	0.0	0.0
