scores	parameters
0.91875	'feature_selection__k': 50, 'feature_selection__score_func': <function mutual_info_classif at 0x7f93a4738860>, 'model__eta': 0.1, 'model__max_depth': 3, 'model__n_estimators': 50
0.89375	'feature_selection__k': 50, 'feature_selection__score_func': <function mutual_info_classif at 0x7f93a4738860>, 'model__eta': 0.3, 'model__max_depth': 5, 'model__n_estimators': 100
0.8875	'feature_selection__k': 25, 'feature_selection__score_func': <function mutual_info_classif at 0x7f93a4738860>, 'model__eta': 0.1, 'model__max_depth': 3, 'model__n_estimators': 100
0.8875	'feature_selection__k': 50, 'feature_selection__score_func': <function mutual_info_classif at 0x7f93a4738860>, 'model__eta': 0.1, 'model__max_depth': 5, 'model__n_estimators': 50
0.8875	'feature_selection__k': 50, 'feature_selection__score_func': <function mutual_info_classif at 0x7f93a4738860>, 'model__eta': 0.1, 'model__max_depth': 5, 'model__n_estimators': 100
0.8875	'feature_selection__k': 50, 'feature_selection__score_func': <function mutual_info_classif at 0x7f93a4738860>, 'model__eta': 0.3, 'model__max_depth': 3, 'model__n_estimators': 50
0.8875	'feature_selection__k': 50, 'feature_selection__score_func': <function mutual_info_classif at 0x7f93a4738860>, 'model__eta': 0.3, 'model__max_depth': 3, 'model__n_estimators': 100
0.8875	'feature_selection__k': 50, 'feature_selection__score_func': <function mutual_info_classif at 0x7f93a4738860>, 'model__eta': 0.3, 'model__max_depth': 5, 'model__n_estimators': 50
0.88125	'feature_selection__k': 50, 'feature_selection__score_func': <function mutual_info_classif at 0x7f93a4738860>, 'model__eta': 0.1, 'model__max_depth': 3, 'model__n_estimators': 100
0.875	'feature_selection__k': 25, 'feature_selection__score_func': <function mutual_info_classif at 0x7f93a4738860>, 'model__eta': 0.1, 'model__max_depth': 5, 'model__n_estimators': 100
0.875	'feature_selection__k': 25, 'feature_selection__score_func': <function mutual_info_classif at 0x7f93a4738860>, 'model__eta': 0.3, 'model__max_depth': 3, 'model__n_estimators': 100
0.86875	'feature_selection__k': 25, 'feature_selection__score_func': <function mutual_info_classif at 0x7f93a4738860>, 'model__eta': 0.1, 'model__max_depth': 3, 'model__n_estimators': 50
0.8625	'feature_selection__k': 25, 'feature_selection__score_func': <function mutual_info_classif at 0x7f93a4738860>, 'model__eta': 0.3, 'model__max_depth': 3, 'model__n_estimators': 50
0.85625	'feature_selection__k': 25, 'feature_selection__score_func': <function mutual_info_classif at 0x7f93a4738860>, 'model__eta': 0.3, 'model__max_depth': 5, 'model__n_estimators': 100
0.85	'feature_selection__k': 25, 'feature_selection__score_func': <function mutual_info_classif at 0x7f93a4738860>, 'model__eta': 0.1, 'model__max_depth': 5, 'model__n_estimators': 50
0.84375	'feature_selection__k': 25, 'feature_selection__score_func': <function mutual_info_classif at 0x7f93a4738860>, 'model__eta': 0.3, 'model__max_depth': 5, 'model__n_estimators': 50
