sample	phenotype	dataset
S0.1.01		training
S0.1.02		training
S0.1.03		training
S0.1.04		training
S0.1.05		training
S0.1.06		training
S0.1.07		testing
S0.1.08		training
S0.1.09		testing
S0.1.10		testing
S0.1.11		testing
S0.1.12		training
S0.1.13		testing
S0.1.14		training
S0.1.15		training
S0.1.16		training
S0.1.17		training
S0.1.19		testing
S0.1.18		training
S0.1.20		testing
S1.1.01		training
S1.1.02		training
S1.1.03		training
S1.1.04		training
S1.1.05		training
S1.1.06		training
S1.1.07		testing
S1.1.08		training
S1.1.09		testing
S1.1.10		testing
S1.1.11		testing
S1.1.12		training
S1.1.13		testing
S1.1.14		training
S1.1.15		training
S1.1.16		training
S1.1.17		training
S1.1.19		testing
S1.1.18		training
S1.1.20		testing
S2.1.01		training
S2.1.02		training
S2.1.03		training
S2.1.04		training
S2.1.05		training
S2.1.06		training
S2.1.07		testing
S2.1.08		training
S2.1.09		testing
S2.1.10		testing
S2.1.11		testing
S2.1.12		training
S2.1.13		testing
S2.1.14		training
S2.1.15		training
S2.1.16		training
S2.1.17		training
S2.1.19		testing
S2.1.18		training
S2.1.20		testing
S3.1.01		training
S3.1.02		training
S3.1.03		training
S3.1.04		training
S3.1.05		training
S3.1.06		training
S3.1.07		testing
S3.1.08		training
S3.1.09		testing
S3.1.10		testing
S3.1.11		testing
S3.1.12		training
S3.1.13		testing
S3.1.14		training
S3.1.15		training
S3.1.16		training
S3.1.17		training
S3.1.19		testing
S3.1.18		training
S3.1.20		testing
S4.1.01		training
S4.1.02		training
S4.1.03		training
S4.1.04		training
S4.1.05		training
S4.1.06		training
S4.1.07		testing
S4.1.08		training
S4.1.09		testing
S4.1.10		testing
S4.1.11		testing
S4.1.12		training
S4.1.13		testing
S4.1.14		training
S4.1.15		training
S4.1.16		training
S4.1.17		training
S4.1.19		testing
S4.1.18		training
S4.1.20		testing
S5.1.01		training
S5.1.02		training
S5.1.03		training
S5.1.04		training
S5.1.05		training
S5.1.06		training
S5.1.07		testing
S5.1.08		training
S5.1.09		testing
S5.1.10		testing
S5.1.11		testing
S5.1.12		training
S5.1.13		testing
S5.1.14		training
S5.1.15		training
S5.1.16		training
S5.1.17		training
S5.1.19		testing
S5.1.18		training
S5.1.20		testing
S6.1.01		training
S6.1.02		training
S6.1.03		training
S6.1.04		training
S6.1.05		training
S6.1.06		training
S6.1.07		testing
S6.1.08		training
S6.1.09		testing
S6.1.10		testing
S6.1.11		testing
S6.1.12		training
S6.1.13		testing
S6.1.14		training
S6.1.15		training
S6.1.16		training
S6.1.17		training
S6.1.19		testing
S6.1.18		training
S6.1.20		testing
S7.1.01		training
S7.1.02		training
S7.1.03		training
S7.1.04		training
S7.1.05		training
S7.1.06		training
S7.1.07		testing
S7.1.08		training
S7.1.09		testing
S7.1.10		testing
S7.1.11		testing
S7.1.12		training
S7.1.13		testing
S7.1.14		training
S7.1.15		training
S7.1.16		training
S7.1.17		training
S7.1.19		testing
S7.1.18		training
S7.1.20		testing
S8.1.01		training
S8.1.02		training
S8.1.03		training
S8.1.04		training
S8.1.05		training
S8.1.06		training
S8.1.07		testing
S8.1.08		training
S8.1.09		testing
S8.1.10		testing
S8.1.11		testing
S8.1.12		training
S8.1.13		testing
S8.1.14		training
S8.1.15		training
S8.1.16		training
S8.1.17		training
S8.1.19		testing
S8.1.18		training
S8.1.20		testing
S9.1.01		training
S9.1.02		training
S9.1.03		training
S9.1.04		training
S9.1.05		training
S9.1.06		training
S9.1.07		testing
S9.1.08		training
S9.1.09		testing
S9.1.10		testing
S9.1.11		testing
S9.1.12		training
S9.1.13		testing
S9.1.14		training
S9.1.15		training
S9.1.16		training
S9.1.17		training
S9.1.19		testing
S9.1.18		training
S9.1.20		testing
